Temps;Déplacement;Charge
(s);(mm);(N)
"32,40000";"2,16001";"20829,63281"
"32,50000";"2,16683";"20914,79492"
"32,60000";"2,17347";"20982,77734"
"32,70000";"2,18010";"21066,23047"
"32,80000";"2,18692";"21150,42578"
"32,90000";"2,19350";"21218,35156"
"33,00000";"2,20013";"21307,47656"
"33,10000";"2,20695";"21382,63086"
"33,20000";"2,21335";"21454,85547"
"33,30000";"2,22010";"21540,39648"
"33,40000";"2,22698";"21617,13477"
"33,50000";"2,23338";"21689,91992"
"33,60000";"2,24019";"21776,21484"
"33,70000";"2,24689";"21849,74609"
"33,80000";"2,25341";"21925,04102"
"33,90000";"2,26022";"22011,53906"
"34,00000";"2,26680";"22083,56641"
"34,10000";"2,27338";"22164,75391"
"34,20000";"2,28025";"22246,34961"
"34,30000";"2,28671";"22315,76953"
"34,40000";"2,29346";"22404,89062"
"34,50000";"2,30028";"22480,90820"
"34,60000";"2,30668";"22552,35547"
"34,70000";"2,31349";"22638,31250"
"34,80000";"2,32025";"22713,01367"
"34,90000";"2,32677";"22800,11719"
"35,00000";"2,33352";"22875,56836"
"35,10000";"2,34016";"22946,60156"
"35,20000";"2,34674";"23031,34570"
"35,30000";"2,35367";"23116,50000"
"35,40000";"2,36007";"23186,05469"
"35,50000";"2,36671";"23269,28711"
"35,60000";"2,37364";"23351,19336"
"35,70000";"2,38004";"23424,38672"
"35,80000";"2,38680";"23510,97656"
"35,90000";"2,39361";"23589,28125"
"36,00000";"2,40007";"23661,41602"
"36,10000";"2,40683";"23748,16211"
"36,20000";"2,41358";"23821,62305"
"36,30000";"2,42010";"23903,40039"
"36,40000";"2,42692";"23986,50195"
"36,50000";"2,43343";"24054,11523"
"36,60000";"2,44007";"24139,57031"
"36,70000";"2,44694";"24221,71289"
"36,80000";"2,45340";"24291,31445"
"36,90000";"2,46010";"24378,87109"
"37,00000";"2,46697";"24456,19141"
"37,10000";"2,47343";"24531,93164"
"37,20000";"2,48013";"24616,24023"
"37,30000";"2,48688";"24690,41406"
"37,40000";"2,49334";"24766,52148"
"37,50000";"2,50016";"24851,58984"
"37,60000";"2,50685";"24923,68750"
"37,70000";"2,51343";"25005,07812"
"37,80000";"2,52031";"25087,88086"
"37,90000";"2,52676";"25154,48242"
"38,00000";"2,53346";"25242,29492"
"38,10000";"2,54034";"25320,11328"
