Temps;Déplacement;Charge
(s);(mm);(N)
"31,93200";"2,12892";"19095,32617"
"32,03200";"2,13580";"19179,38086"
"32,13200";"2,14214";"19313,18555"
"32,23200";"2,14895";"19452,31641"
"32,33200";"2,15565";"19566,23438"
"32,43200";"2,16211";"19670,68945"
"32,53200";"2,16904";"19667,03320"
"32,63200";"2,17568";"19807,48047"
"32,73200";"2,18220";"19948,25195"
"32,83200";"2,18901";"20073,75977"
"32,89600";"2,19320";"19788,51562"
"32,91800";"2,19463";"19530,72070"
"33,01800";"2,20145";"19718,30469"
"33,11800";"2,20809";"19923,65234"
"33,21800";"2,21454";"20118,71680"
"33,31800";"2,22136";"20290,29297"
"33,41800";"2,22806";"20202,19727"
"33,43200";"2,22907";"19932,93945"
"33,53200";"2,23559";"19883,93945"
"33,63200";"2,24235";"20107,00586"
"33,73200";"2,24898";"20309,16406"
"33,83200";"2,25550";"20497,17773"
"33,93200";"2,26237";"20675,33594"
"34,03200";"2,26889";"20811,48633"
"34,13200";"2,27553";"20951,57031"
"34,23200";"2,28240";"21081,27539"
"34,33200";"2,28886";"21205,30273"
"34,43200";"2,29556";"21327,07617"
"34,53200";"2,30243";"21439,12695"
"34,63200";"2,30883";"21543,39258"
"34,73200";"2,31565";"21666,08008"
"34,83200";"2,32234";"21778,67188"
"34,93200";"2,32886";"21766,65625"
"34,94600";"2,32982";"21501,66406"
"34,96800";"2,33143";"21240,37500"
"35,06800";"2,33801";"21431,57422"
"35,16800";"2,34488";"21648,00195"
"35,26800";"2,35122";"21841,69922"
"35,36800";"2,35792";"22026,35156"
"35,46800";"2,36473";"22176,12500"
"35,52600";"2,36850";"21888,02148"
"35,54200";"2,36958";"21615,14844"
"35,64200";"2,37645";"21699,32812"
"35,74200";"2,38285";"21912,58594"
"35,84200";"2,38955";"22130,46484"
"35,94200";"2,39642";"22316,76367"
"36,04200";"2,40282";"22479,29297"
"36,14200";"2,40964";"22636,45312"
"36,24200";"2,41639";"22772,53125"
"36,34200";"2,42285";"22900,89258"
"36,44200";"2,42961";"23033,36328"
"36,54200";"2,43624";"23149,58398"
"36,64200";"2,44288";"23275,08789"
"36,74200";"2,44975";"23391,83789"
"36,84200";"2,45621";"23492,84570"
"36,94200";"2,46291";"23616,78711"
"37,04200";"2,46972";"23732,00195"
"37,11400";"2,47439";"23463,02148"
"37,12800";"2,47529";"23201,64062"
"37,22800";"2,48210";"23238,23047"
"37,32800";"2,48874";"23452,32422"
"37,42800";"2,49525";"23663,18555"
"37,52800";"2,50213";"23857,96094"
"37,62800";"2,50865";"24019,67578"
"37,72800";"2,51528";"24167,97266"
"37,75400";"2,51702";"23911,08594"
"37,76800";"2,51797";"23629,01367"
"37,86800";"2,52473";"23614,08984"
"37,96800";"2,53143";"23829,70703"
"38,06800";"2,53788";"24044,60547"
"38,16800";"2,54470";"24243,33789"
"38,26800";"2,55134";"24407,77148"
"38,36800";"2,55791";"24568,23828"
"38,46800";"2,56479";"24719,91992"
"38,56800";"2,57125";"24849,59766"
"38,66800";"2,57788";"24988,78320"
"38,76800";"2,58476";"25117,13281"
"38,86800";"2,59122";"25238,73242"
"38,96800";"2,59797";"25364,25000"
"39,06800";"2,60479";"25477,66602"
"39,16800";"2,61125";"25595,10742"
"39,26800";"2,61812";"25721,63281"
"39,36800";"2,62476";"25825,44922"
"39,41400";"2,62787";"25561,93164"
"39,42600";"2,62864";"25308,68555"
"39,52600";"2,63540";"25253,84961"
"39,62600";"2,64180";"25476,30273"
"39,72600";"2,64861";"25703,68945"
"39,82600";"2,65519";"25888,11133"
"39,92600";"2,66177";"26068,34375"
"40,02600";"2,66864";"26226,34375"
"40,09400";"2,67301";"25959,98438"
"40,10600";"2,67385";"25705,99414"
"40,20600";"2,68066";"25675,13086"
"40,30600";"2,68730";"25894,83789"
"40,40600";"2,69376";"26107,47461"
"40,50600";"2,70057";"26309,09766"
"40,60600";"2,70709";"26483,79492"
"40,70600";"2,71373";"26649,35547"
"40,80600";"2,72066";"26802,44531"
"40,90600";"2,72706";"26938,02148"
"41,00600";"2,73387";"27088,58594"
"41,10600";"2,74069";"27218,10352"
"41,20600";"2,74709";"27344,11719"
"41,30600";"2,75390";"27478,23828"
"41,40600";"2,76054";"27591,65820"
"41,50600";"2,76706";"27713,38867"
"41,60600";"2,77399";"27839,35352"
"41,70600";"2,78057";"27959,21289"
"41,80600";"2,78715";"28066,54492"
"41,83200";"2,78894";"27813,79297"
"41,84400";"2,78978";"27532,88086"
"41,86200";"2,79109";"27282,71875"
"41,96200";"2,79761";"27466,28906"
"42,06200";"2,80443";"27692,20703"
"42,16200";"2,81082";"27899,49414"
"42,26200";"2,81746";"28102,57617"
"42,36200";"2,82434";"28279,82617"
"42,46200";"2,83079";"28442,07812"
"42,55800";"2,83743";"28151,05664"
"42,57000";"2,83821";"27900,36133"
"42,67000";"2,84502";"27890,36133"
"42,77000";"2,85142";"28121,88281"
"42,87000";"2,85818";"28348,55078"
"42,97000";"2,86481";"28542,51953"
"43,07000";"2,87133";"28724,70703"
"43,17000";"2,87815";"28898,69531"
"43,27000";"2,88478";"29058,02734"
"43,37000";"2,89130";"29209,02148"
"43,47000";"2,89824";"29351,77344"
"43,57000";"2,90469";"29483,17188"
"43,67000";"2,91139";"29622,15820"
"43,77000";"2,91821";"29750,94336"
"43,87000";"2,92466";"29876,45508"
"43,97000";"2,93148";"30005,97656"
"44,07000";"2,93818";"30123,50781"
"44,17000";"2,94469";"30250,91602"
"44,27000";"2,95151";"30379,56641"
"44,37000";"2,95820";"30342,69531"
"44,38200";"2,95910";"30049,95508"
"44,39400";"2,95994";"29792,50195"
"44,49400";"2,96646";"29785,15234"
"44,59400";"2,97321";"30021,78711"
"44,69400";"2,97985";"30237,57031"
"44,79400";"2,98631";"30440,06250"
"44,89400";"2,99318";"30633,32227"
"44,99400";"2,99976";"30795,97266"
"45,09400";"3,00628";"30947,63086"
"45,13200";"3,00885";"30651,47070"
"45,14400";"3,00974";"30364,40234"
"45,16400";"3,01124";"30109,78711"
"45,26400";"3,01781";"30319,85547"
"45,36400";"3,02457";"30550,51562"
"45,46400";"3,03103";"30761,37695"
"45,56400";"3,03766";"30970,64453"
"45,66400";"3,04454";"31157,81641"
"45,76400";"3,05100";"31322,48828"
"45,86400";"3,05763";"31487,04492"
"45,96400";"3,06451";"31640,28906"
"46,06400";"3,07097";"31783,67969"
"46,16400";"3,07772";"31929,11523"
"46,26400";"3,08442";"32059,05469"
"46,36400";"3,09094";"32193,84570"
